Restaurant_Info_ID,Restaurant_Name,Rating,Review_Count,Price,Restaurant_Address,Restaurant_City,Zip_Code,Latitude,Longitude,Categories,Inspection_Info_ID,Inspection_date,Score,Grade,Population_Density_per_sq_mi,Median_Household_Income,Median_Home_Value,Employment_Rate,Total_Population,Total_Employer_Establishments
8525,Ye Rustic Inn,3.4,806,$$,1831 Hillhurst Ave,Los Angeles,90027,34.1043717245734,-118.287837916436,"Sports Bars, Chicken Wings",6953,2024-10-10,95.0,A,5473.0,78356,793200.0,92.05,44678,1744
8526,Astro Family Restaurant,3.1,562,$$,2300 Fletcher Dr,Los Angeles,90039,34.104473,-118.258726,"Diners, American, Breakfast & Brunch",6829,2024-09-03,90.0,A,7709.0,99226,600000.0,93.15,28839,1192
8526,Astro Family Restaurant,3.1,562,$$,2300 Fletcher Dr,Los Angeles,90039,34.104473,-118.258726,"Diners, American, Breakfast & Brunch",6892,2024-09-03,90.0,A,7709.0,99226,600000.0,93.15,28839,1192
8527,3rd Base LA,3.7,510,$$,1562 N Cahuenga Blvd,Los Angeles,90028,34.09956,-118.32916,"Sports Bars, Lounges, American",7095,2025-01-14,92.0,A,21402.0,52814,593900.0,89.52,29887,1728
8530,Black Canvas Coffee,4.0,261,$$,1411 N Highland Ave,Los Angeles,90028,34.096372,-118.339083,"Coffee & Tea, Sandwiches, Breakfast & Brunch",1453,2024-10-09,94.0,A,21402.0,52814,593900.0,89.52,29887,1728
8531,The Juice,3.9,151,$$,3145 Glendale Blvd,Los Angeles,90039,34.11711,-118.26218,"Live/Raw Food, Juice Bars & Smoothies",3923,2024-09-10,95.0,A,7709.0,99226,600000.0,93.15,28839,1192
8531,The Juice,3.9,151,$$,3145 Glendale Blvd,Los Angeles,90039,34.11711,-118.26218,"Live/Raw Food, Juice Bars & Smoothies",3966,2024-09-10,95.0,A,7709.0,99226,600000.0,93.15,28839,1192
8562,The Palm & The Pine,4.8,56,$$,1624 N Cahuenga Blvd,Hollywood,90028,34.100719,-118.329347,"Chicken Wings, Sandwiches, Bars",6274,2024-08-20,95.0,A,21402.0,52814,593900.0,89.52,29887,1728
8576,Iki Nori,4.7,148,$$,6464 W Sunset Blvd,Los Angeles,90028,34.097762043701735,-118.33133268718342,"Japanese, Seafood, Sushi Bars",4483,2025-02-27,97.0,A,21402.0,52814,593900.0,89.52,29887,1728
8579,Pizza Cafe LA,4.7,208,$$,2320 Fletcher Dr,Los Angeles,90039,34.1046749,-118.2584982,"Pizza, Chicken Wings, Breakfast & Brunch",5610,2024-09-12,96.0,A,7709.0,99226,600000.0,93.15,28839,1192
8580,Musume,4.7,50,$$,5902 W Sunset Blvd,Los Angeles,90028,34.09788,-118.3182,"Sushi Bars, Japanese",3529,2024-11-05,92.0,A,21402.0,52814,593900.0,89.52,29887,1728
8587,Kirin Sushi and Ramen,4.7,30,$$,1511 N Cahuenga Blvd,Los Angeles,90028,34.098429467970874,-118.32977340299696,"Sushi Bars, Ramen",3294,2025-01-14,92.0,A,21402.0,52814,593900.0,89.52,29887,1728
8596,El Jocoreno Restaurant,4.6,16,$$,910 N Western Ave,Los Angeles,90038,34.086532741785,-118.309105485678,Salvadoran,4138,2025-02-26,96.0,A,17711.0,51096,525800.0,92.92,27995,1032
8596,El Jocoreno Restaurant,4.6,16,$$,910 N Western Ave,Los Angeles,90038,34.086532741785,-118.309105485678,Salvadoran,4458,2025-02-26,96.0,A,17711.0,51096,525800.0,92.92,27995,1032
8610,SushiStop Hollywood ,3.3,1060,$$,5917 Franklin Ave,Los Angeles,90028,34.105434,-118.31875,"Sushi Bars, Japanese",3757,2024-10-08,95.0,A,21402.0,52814,593900.0,89.52,29887,1728
