Zip_Code_ID,Zip_Code,Is_City_Zip,Created_At,Is_Processed
77,90077,1,2025-04-13 14:10:08,1
78,90078,0,2025-04-13 14:10:08,1
79,90079,1,2025-04-13 14:10:08,1
80,90080,0,2025-04-13 14:10:08,1
81,90081,0,2025-04-13 14:10:08,1
82,90082,0,2025-04-13 14:10:08,1
83,90083,0,2025-04-13 14:10:08,1
84,90084,0,2025-04-13 14:10:08,1
85,90086,0,2025-04-13 14:10:08,1
86,90087,0,2025-04-13 14:10:08,1
87,90088,0,2025-04-13 14:10:08,1
88,90089,1,2025-04-13 14:10:08,1
89,90090,0,2025-04-13 14:10:08,1
90,90091,0,2025-04-13 14:10:08,1
91,90093,0,2025-04-13 14:10:08,1
92,90094,1,2025-04-13 14:10:08,1
93,90095,1,2025-04-13 14:10:08,1
94,90096,0,2025-04-13 14:10:08,1
95,90099,0,2025-04-13 14:10:08,1
96,90101,0,2025-04-13 14:10:08,1
97,90102,0,2025-04-13 14:10:08,1
98,90103,0,2025-04-13 14:10:08,1
99,90134,0,2025-04-13 14:10:08,1
100,90189,0,2025-04-13 14:10:08,1
101,90201,0,2025-04-13 14:10:08,1
102,90202,0,2025-04-13 14:10:08,1
103,90209,0,2025-04-13 14:10:08,1
104,90210,0,2025-04-13 14:10:08,1
105,90211,0,2025-04-13 14:10:08,1
106,90212,0,2025-04-13 14:10:08,1
107,90213,0,2025-04-13 14:10:08,1
108,90220,0,2025-04-13 14:10:08,1
109,90221,0,2025-04-13 14:10:08,1
110,90222,0,2025-04-13 14:10:08,1
111,90223,0,2025-04-13 14:10:08,1
112,90224,0,2025-04-13 14:10:08,1
113,90230,1,2025-04-13 14:10:08,1
114,90231,0,2025-04-13 14:10:08,1
115,90232,1,2025-04-13 14:10:08,1
116,90233,0,2025-04-13 14:10:08,1
117,90239,0,2025-04-13 14:10:08,1
118,90240,0,2025-04-13 14:10:08,1
119,90241,0,2025-04-13 14:10:08,1
120,90242,0,2025-04-13 14:10:08,1
121,90245,0,2025-04-13 14:10:08,1
122,90247,1,2025-04-13 14:10:08,1
123,90248,1,2025-04-13 14:10:08,1
124,90249,0,2025-04-13 14:10:08,1
125,90250,0,2025-04-13 14:10:08,1
126,90251,0,2025-04-13 14:10:08,1
127,90254,0,2025-04-13 14:10:08,1
128,90255,0,2025-04-13 14:10:08,1
129,90260,0,2025-04-13 14:10:08,1
130,90261,0,2025-04-13 14:10:08,1
131,90262,0,2025-04-13 14:10:08,1
132,90263,0,2025-04-13 14:10:08,1
133,90264,0,2025-04-13 14:10:08,1
134,90265,0,2025-04-13 14:10:08,1
135,90266,0,2025-04-13 14:10:08,1
136,90267,0,2025-04-13 14:10:08,1
137,90270,0,2025-04-13 14:10:08,1
138,90272,1,2025-04-13 14:10:08,1
139,90274,0,2025-04-13 14:10:08,1
140,90275,0,2025-04-13 14:10:08,1
141,90277,0,2025-04-13 14:10:08,1
142,90278,0,2025-04-13 14:10:08,1
143,90280,0,2025-04-13 14:10:08,1
144,90290,0,2025-04-13 14:10:08,1
145,90291,1,2025-04-13 14:10:08,1
146,90292,1,2025-04-13 14:10:08,1
147,90293,1,2025-04-13 14:10:08,1
148,90294,0,2025-04-13 14:10:08,1
149,90295,0,2025-04-13 14:10:08,1
150,90296,0,2025-04-13 14:10:08,1
151,90301,0,2025-04-13 14:10:08,1
152,90302,1,2025-04-13 14:10:08,1
153,90303,0,2025-04-13 14:10:08,1
154,90304,0,2025-04-13 14:10:08,1
155,90305,0,2025-04-13 14:10:08,1
156,90306,0,2025-04-13 14:10:08,1
157,90307,0,2025-04-13 14:10:08,1
158,90308,0,2025-04-13 14:10:08,1
159,90309,0,2025-04-13 14:10:08,1
160,90310,0,2025-04-13 14:10:08,1
161,90311,0,2025-04-13 14:10:08,1
162,90312,0,2025-04-13 14:10:08,1
163,90313,0,2025-04-13 14:10:08,1
164,90397,0,2025-04-13 14:10:08,1
165,90398,0,2025-04-13 14:10:08,1
166,90401,0,2025-04-13 14:10:08,1
167,90402,0,2025-04-13 14:10:08,1
168,90403,0,2025-04-13 14:10:08,1
169,90404,1,2025-04-13 14:10:08,1
170,90405,0,2025-04-13 14:10:08,1
171,90406,0,2025-04-13 14:10:08,1
172,90407,0,2025-04-13 14:10:08,1
173,90408,0,2025-04-13 14:10:08,1
174,90409,0,2025-04-13 14:10:08,1
175,90410,0,2025-04-13 14:10:08,1
176,90411,0,2025-04-13 14:10:08,1
177,90501,1,2025-04-13 14:10:08,1
178,90502,1,2025-04-13 14:10:08,1
179,90503,0,2025-04-13 14:10:08,1
180,90504,0,2025-04-13 14:10:08,1
181,90505,0,2025-04-13 14:10:08,1
182,90506,0,2025-04-13 14:10:08,1
183,90507,0,2025-04-13 14:10:08,1
184,90508,0,2025-04-13 14:10:08,1
185,90509,0,2025-04-13 14:10:08,1
186,90510,0,2025-04-13 14:10:08,1
187,90601,0,2025-04-13 14:10:08,1
188,90602,0,2025-04-13 14:10:08,1
189,90603,0,2025-04-13 14:10:08,1
