F_Zip_Code_ID,Demographics_Info_ID,Latitude,Longitude,Radius_mi,Population_Density_per_sq_mi,Median_Home_Value,Land_Area_sq_mi,Total_Male,Total_Female,Total_Population,Median_Household_Income,Employment_Rate,Total_Employer_Establishments,Created_At,Is_Processed,Is_Valid
180,159,33.87,-118.33,2,7370.0,516700.0,4.41,16044.0,16459.0,33022,97289,93.04,653,2025-04-16 02:19:27,0,1
181,160,33.81,-118.35,2,6262.0,682100.0,5.85,17680.0,18963.0,37533,101043,95.21,2132,2025-04-16 02:21:43,0,1
182,161,33.885,-118.331,0.284090909090909,,,,,,0,-666666666,0.0,3,2025-04-16 02:23:44,0,1
187,162,34.01,-118.03,3,3077.0,418600.0,10.6,15820.0,16805.0,30955,86268,94.58,613,2025-04-16 02:25:49,0,1
188,163,33.97,-118.03,2,6803.0,414200.0,3.75,12444.0,13077.0,25907,55328,94.55,518,2025-04-16 02:27:44,0,1
189,164,33.95,-117.99,2,6693.0,423500.0,3.16,10243.0,10931.0,21236,109485,95.03,407,2025-04-16 02:29:15,0,1
190,165,33.93,-118.01,2,9530.0,362800.0,4.21,19444.0,20666.0,39926,88342,96.24,245,2025-04-16 02:30:30,0,1
191,166,33.95,-118.02,3,6293.0,357100.0,6.39,19980.0,20209.0,42600,83667,94.21,551,2025-04-16 02:32:43,0,1
192,167,33.98,-118.07,2,8456.0,328200.0,3.79,15562.0,16516.0,32583,82377,95.0,390,2025-04-16 02:34:02,0,1
199,168,33.9,-118.01,2,6060.0,401600.0,7.75,22739.0,24228.0,46335,97838,94.58,1026,2025-04-16 02:35:11,0,1
200,169,33.907,-118.015,0.511363636363636,10756.0,,0.14,543.0,968.0,2103,-666666666,89.59,9,2025-04-16 02:39:07,0,1
201,170,34.01,-118.11,3,7531.0,385200.0,8.32,30173.0,32505.0,62941,66460,93.23,1300,2025-04-16 02:41:06,0,1
202,171,33.91,-118.08,2,10390.0,315500.0,9.9,50370.0,52521.0,103427,83217,94.18,1137,2025-04-16 02:42:45,0,1
206,172,33.99,-118.08,4,8001.0,330000.0,7.75,30213.0,31800.0,62383,78056,94.99,871,2025-04-16 02:43:41,0,1
209,173,33.93,-118.06,4,2135.0,342800.0,8.32,8470.0,9291.0,17446,76397,95.66,2176,2025-04-16 02:45:25,0,1
211,174,33.87,-118.08,1,10092.0,402700.0,1.63,8178.0,8256.0,16390,83321,91.23,658,2025-04-16 02:46:31,0,1
213,175,33.87,-118.07,3,5685.0,591800.0,8.75,23855.0,25880.0,49989,115272,94.09,1856,2025-04-16 02:48:13,0,1
214,176,33.4,-118.5,11,49.0,679400.0,76.09,1821.0,1894.0,3940,77644,100.0,215,2025-04-16 02:49:38,0,1
215,177,33.89,-118.13,2,12969.0,337100.0,6.11,38412.0,40767.0,79070,70236,92.2,1119,2025-04-16 02:51:57,0,1
219,178,33.84,-118.15,2,7669.0,409500.0,4.22,15665.0,16667.0,31701,108877,94.74,702,2025-04-16 02:54:27,0,1
220,179,33.85,-118.11,2,8292.0,435100.0,3.47,14052.0,14703.0,29113,112118,94.62,337,2025-04-16 02:56:51,0,1
222,180,33.84,-118.08,1,12391.0,356600.0,1.69,10133.0,10866.0,21174,79941,93.46,158,2025-04-16 03:07:34,0,1
223,181,33.83,-118.07,0.795454545454545,15303.0,247100.0,0.92,7018.0,7080.0,14050,66537,94.33,176,2025-04-16 03:08:56,0,1
225,182,33.9,-118.17,2,11325.0,254100.0,4.75,26172.0,27598.0,53938,60493,94.96,1057,2025-04-16 03:11:07,0,1
231,183,33.83,-118.26,2,7285.0,330900.0,8.23,28865.0,31072.0,58327,93759,93.18,766,2025-04-16 03:12:09,0,1
232,184,33.86,-118.26,2,4692.0,362600.0,5.79,12554.0,14593.0,28067,96939,92.15,783,2025-04-16 03:14:09,0,1
233,185,33.866,-118.258,0.454545454545455,1027.0,,0.02,9.0,13.0,35,-666666666,50.0,9,2025-04-16 03:16:43,0,1
236,186,33.8,-118.17,1,5487.0,373400.0,2.17,5838.0,6085.0,11813,79260,95.71,715,2025-04-16 03:18:05,0,1
238,187,33.76,-118.2,3,6383.0,274300.0,6.53,21255.0,20431.0,39036,62720,91.87,1353,2025-04-16 03:20:19,0,1
239,188,33.76,-118.15,4,7920.0,691700.0,4.06,15667.0,16525.0,32631,98428,95.14,1094,2025-04-16 03:22:12,0,1
240,189,33.78,-118.14,2,18236.0,340600.0,2.16,19258.0,20112.0,37953,55647,94.98,684,2025-04-16 03:23:28,0,1
241,190,33.86,-118.18,2,12852.0,282000.0,7.42,46307.0,49043.0,96840,57232,91.65,799,2025-04-16 03:25:59,0,1
242,191,33.81,-118.17,2,8515.0,358400.0,4.89,20426.0,21185.0,41571,60172,91.98,843,2025-04-16 03:28:08,0,1
243,192,33.83,-118.18,2,7332.0,487300.0,4.42,15428.0,16984.0,32994,81622,95.24,1050,2025-04-16 03:30:31,0,1
244,193,33.83,-118.11,3,5788.0,497300.0,6.87,19211.0,20536.0,39723,118814,95.79,740,2025-04-16 03:32:41,0,1
247,194,33.78,-118.2,2,17719.0,296200.0,3.08,27019.0,27546.0,56420,44867,90.27,789,2025-04-16 03:33:50,0,1
248,195,33.77,-118.14,2,14288.0,612400.0,1.33,9277.0,9765.0,19166,84195,96.57,315,2025-04-16 03:35:20,0,1
249,196,33.8,-118.11,3,5931.0,505400.0,7.05,20139.0,21698.0,43092,102939,94.17,888,2025-04-16 03:37:01,0,1
250,197,33.73,-118.26,2,332.0,,0.16,54.0,0.0,117,-666666666,0.0,15,2025-04-16 03:39:14,0,1
251,198,33.767,-118.192,0.113636363636364,,,,,,0,-666666666,0.0,70,2025-04-16 03:41:26,0,1
256,199,33.775,-118.113,0.170454545454545,189.0,,0.04,5.0,3.0,0,-666666666,0.0,6,2025-04-16 03:42:34,0,1
517,200,34.4,-118.0,14,209.0,155800.0,67.69,7234.0,6898.0,13793,61936,91.16,83,2025-04-16 06:11:04,0,1
518,201,34.5,-117.8,9,10.0,167200.0,114.97,632.0,494.0,1511,73409,75.22,9,2025-04-16 06:11:19,0,1
519,202,34.5,-118.1,12,318.0,137200.0,259.25,40048.0,42331.0,82580,54693,90.8,765,2025-04-16 06:11:26,0,1
520,203,34.6,-118.2,10,661.0,243400.0,84.76,27508.0,28493.0,54808,98181,94.45,993,2025-04-16 06:11:42,0,1
521,204,34.5,-118.0,9,1105.0,159600.0,38.44,20848.0,21620.0,43118,73074,92.73,211,2025-04-16 06:11:56,0,1
522,205,34.4,-117.8,12,34.0,191900.0,57.2,967.0,954.0,1056,59805,98.62,20,2025-04-16 06:12:04,0,1
523,206,34.41,-117.75,6,4.0,288800.0,37.81,106.0,37.0,247,210600,100.0,3,2025-04-16 06:12:12,0,1
527,207,34.6,-117.8,11,100.0,77900.0,74.32,3709.0,3741.0,6914,53733,93.49,34,2025-04-16 06:12:27,0,1
109,208,33.88,-118.2,3,9766.0,237100.0,5.38,25823.0,26738.0,50660,57610,91.84,633,2025-04-16 06:42:22,0,1
166,209,34.01,-118.5,1,10824.0,676800.0,0.75,4265.0,3902.0,7482,90682,90.73,1968,2025-04-16 13:16:19,0,1
167,210,34.04,-118.5,1,6020.0,1000001.0,2.04,5916.0,6379.0,12046,139667,95.79,465,2025-04-16 13:19:53,0,1
168,211,34.03,-118.49,1,17907.0,923800.0,1.41,11828.0,13450.0,24525,113204,93.88,1515,2025-04-16 13:23:25,0,1
170,212,34.01,-118.47,2,10053.0,1000001.0,2.78,13550.0,14416.0,27367,97010,92.99,1778,2025-04-16 13:26:50,0,1
267,213,34.22,-118.13,5,4428.0,550000.0,8.26,17671.0,18907.0,36867,114668,92.12,610,2025-04-17 00:03:32,0,1
269,214,34.13,-118.03,4,4969.0,718500.0,6.43,15334.0,16615.0,32499,113817,95.32,1576,2025-04-17 00:07:23,0,1
270,215,34.13,-118.05,2,6140.0,756600.0,5.51,15997.0,17807.0,33689,87339,94.07,1324,2025-04-17 00:11:23,0,1
271,216,34.15,-117.97,1,525.0,945900.0,1.93,478.0,532.0,774,167500,89.81,18,2025-04-17 00:15:20,0,1
273,217,34.15,-117.96,3,4156.0,353300.0,6.43,12655.0,14075.0,27008,88357,93.26,516,2025-04-17 00:19:31,0,1
